time_sec,time_nanosec,q_x,q_y,q_z,q_w,av_x,av_y,av_z,la_x,la_y,la_z,mag_x,mag_y,mag_z
1729525343,325282873,0.00403278812355141,0.000738956929715591,0.998592418257771,0.0528807409243053,-0.000573,0.001397,-0.000744,-0.075,-0.075,-0.075,-0.4058,-0.069,0.6037
1729525343,352438233,0.00406768414770405,0.000736897796288717,0.998589510194571,0.0529329864704418,-0.001368,-0.007611,-0.001441,-0.164,-0.164,-0.164,-0.4058,-0.0702,0.6023
1729525343,386407842,0.00404200959087105,0.000746962843594304,0.998589145261371,0.0529416959601964,0.001771,0.004213,0.000734,-0.108,-0.108,-0.108,-0.4069,-0.0678,0.6049
1729525343,399933934,0.00404202262721643,0.00074689229710478,0.998588221102371,0.0529591246205916,0.000409,-0.000327,0.000372,-0.077,-0.077,-0.077,-0.4071,-0.0761,0.6077
1729525343,425908637,0.00403379684925051,0.000755928040315174,0.998586399660699,0.0529939569051039,0.000426,0.003962,0.000391,-0.035,-0.035,-0.035,-0.4048,-0.0726,0.5997
1729525343,460713765,0.00402604797255768,0.00077360838583412,0.998583644451805,0.0530461827197723,-0.000803,0.000705,0.001055,-0.02,-0.02,-0.02,-0.406,-0.0773,0.597
1729525343,505997171,0.00402606147395793,0.000773538117923332,0.998582718469168,0.0530636112841443,0.001066,0.002916,-0.000153,-0.058,-0.058,-0.058,-0.407,-0.0737,0.6023
1729525343,513407748,0.00403433935965199,0.000764219879717402,0.998580838040103,0.0530984931333485,0.001706,-0.000274,-0.00017,-0.078,-0.078,-0.078,-0.4058,-0.0702,0.5956
1729525343,542686401,0.00403484319647105,0.000772722878587342,0.998578049735416,0.0531507434223263,-0.000106,-0.001887,0.000762,-0.095,-0.095,-0.095,-0.4048,-0.0726,0.6011
1729525343,552102860,0.00402616269536776,0.000773011101083092,0.998575763903491,0.0531943250013367,0.000457,-0.000025,0.00039,-0.095,-0.095,-0.095,-0.4048,-0.0737,0.6024
1729525343,582518295,0.00403534793447389,0.000781225826708045,0.998575258620712,0.0532029935608345,0.00114,-0.000901,0.000285,-0.098,-0.098,-0.098,-0.4071,-0.0749,0.605
1729525343,613609175,0.00404408939493468,0.000780620308951289,0.998573366548659,0.0532378398563986,0.001024,-0.002975,-0.000211,-0.089,-0.089,-0.089,-0.407,-0.0713,0.605
1729525343,636840364,0.00403588113793062,0.000789587845660724,0.998570605128946,0.0532901002709235,0.000708,0.000237,-0.000798,-0.095,-0.095,-0.095,-0.4047,-0.0714,0.6011
1729525343,677035590,0.00404507427436308,0.000797766304386544,0.998569633641273,0.053307482707135,-0.000787,0.0014,-0.00056,-0.059,-0.059,-0.059,-0.4059,-0.0737,0.6024
1729525343,681526966,0.00402768776750712,0.000798485948238776,0.998566909662049,0.053359788974695,0.000246,0.001902,0.000182,-0.088,-0.088,-0.088,-0.4047,-0.0702,0.593
1729525343,772021273,0.00402818159350108,0.000807059478824161,0.998565039440775,0.0533946103524471,0.000383,0.000471,-0.000226,-0.078,-0.078,-0.078,-0.4058,-0.0702,0.5956
1729525343,776957353,0.00402867602264066,0.000815632975834853,0.99856316792919,0.053429431660581,0.002115,0.000574,0.000582,-0.09,-0.09,-0.09,-0.407,-0.0702,0.6036
1729525343,784143678,0.00401996904043102,0.000816064226153265,0.998562735789801,0.0534381565932111,0.000631,0.002998,0.000657,-0.084,-0.084,-0.084,-0.4081,-0.0725,0.5982
1729525343,795403755,0.00402044977065243,0.000824708159925413,0.998561795807019,0.0534555497095908,-0.000756,-0.002202,0.001141,-0.079,-0.079,-0.079,-0.4047,-0.0714,0.6024
1729525343,805935808,0.00400349535529665,0.000834320437939742,0.998561390118447,0.0534642506639875,-0.000172,0.002623,-0.001073,-0.077,-0.077,-0.077,-0.407,-0.0725,0.6063
1729525343,825907280,0.00399524783053382,0.000843501165944347,0.998561416717354,0.0534642267688079,0.000296,0.000986,0.000539,-0.065,-0.065,-0.065,-0.4069,-0.069,0.6009
1729525343,947775982,0.0040035390347247,0.000834110814269556,0.998558589368023,0.0535165351427984,-0.001404,-0.006227,-0.001282,-0.142,-0.142,-0.142,-0.407,-0.0749,0.601
1729525343,955407414,0.00398614005283205,0.000834905856153957,0.998556788445865,0.0535514133181448,-0.000426,0.000893,0.000896,-0.065,-0.065,-0.065,-0.4059,-0.0725,0.5929
1729525343,964167346,0.00399489778631049,0.000834229288836255,0.998553949287377,0.0536036865873401,-0.001677,-0.002665,0.000881,-0.108,-0.108,-0.108,-0.4047,-0.0702,0.6024
1729525343,974217805,0.00400316562723149,0.000824942607233614,0.998552518920947,0.0536298526129572,-0.00164,-0.005664,-0.000055,-0.158,-0.158,-0.158,-0.4069,-0.069,0.5996
1729525343,984350660,0.00400318722280658,0.000824837804319875,0.998551114552491,0.0536559946383895,-0.009208,-0.000864,0.004819,-0.101,-0.101,-0.101,-0.406,-0.0773,0.6024
1729525343,993850558,0.00399451643160129,0.000825096961459998,0.998548337685621,0.0537082894790539,0.000335,0.005789,0.001537,-0.065,-0.065,-0.065,-0.4059,-0.0714,0.5997
1729525344,24005767,0.0039867913313582,0.000842750145106655,0.998545074259688,0.0537692285492989,0.000722,0.007207,0.001505,-0.068,-0.068,-0.068,-0.4036,-0.0726,0.6025
1729525344,28616170,0.00398634393981962,0.00083393183348247,0.998543673557831,0.0537954051692445,0.000362,0.001322,0.00128,-0.048,-0.048,-0.048,-0.4059,-0.0737,0.597
1729525344,54764915,0.00397906840166081,0.000860404276423496,0.998541806718174,0.0538301677049331,0.002144,0.002894,-0.000203,-0.091,-0.091,-0.091,-0.407,-0.0737,0.6023
1729525344,74871472,0.00397956849386476,0.000868979284897034,0.998539919537248,0.0538649886303874,0.001774,-0.001748,0.00054,-0.106,-0.106,-0.106,-0.4081,-0.0701,0.5995
1729525344,111439970,0.00397089252616203,0.00086927615757935,0.998537601955584,0.0539085693772204,0.001632,0.00298,-0.001296,-0.108,-0.108,-0.108,-0.4059,-0.0714,0.601
1729525344,131388042,0.00397093803591197,0.000869068240941386,0.99853477794072,0.0539608526098771,0.000067,-0.002846,0.000702,-0.097,-0.097,-0.097,-0.407,-0.0713,0.5969
1729525344,169338859,0.00396226211700282,0.000869366326602507,0.998532456099081,0.0540044331313936,-0.000979,-0.000726,0.000477,-0.036,-0.036,-0.036,-0.4093,-0.0748,0.6022
1729525344,188529079,0.00397100628012456,0.000868756361517245,0.998530536785538,0.0540392771814359,-0.001373,0.001062,0.001218,-0.024,-0.024,-0.024,-0.4059,-0.0714,0.6023
1729525344,200423856,0.00397975798102721,0.000868111057060915,0.998528144256313,0.0540828349631241,-0.001079,-0.002302,-0.001804,-0.075,-0.075,-0.075,-0.4048,-0.0761,0.5877
1729525344,234754248,0.00397063224149753,0.000859592090303447,0.998524407337812,0.0541525911818788,-0.000141,-0.003076,-0.002053,-0.066,-0.066,-0.066,-0.407,-0.0737,0.5996
1729525344,273285616,0.00397019679363031,0.000850705089280907,0.998522050996575,0.0541961946253059,0.000065,0.002434,-0.000247,-0.085,-0.085,-0.085,-0.4082,-0.0772,0.6023
1729525344,281121211,0.0039871439919427,0.000841080087973444,0.998522463856385,0.0541874934025125,-0.000577,-0.002398,0.000651,-0.106,-0.106,-0.106,-0.408,-0.069,0.5941
1729525344,314753485,0.00397890311842864,0.000850266788041141,0.998522490232085,0.0541874697423506,0.000153,0.000429,0.000854,-0.079,-0.079,-0.079,-0.4047,-0.0678,0.601
1729525344,406168026,0.00398718802532761,0.000840871320449373,0.998519625237113,0.0542397758421577,-0.000217,0.00164,-0.000806,-0.108,-0.108,-0.108,-0.4048,-0.0737,0.5984
1729525344,411590407,0.00397945093819807,0.000858633271226944,0.99851775022623,0.0542745723362642,0.000865,0.000159,-0.000606,-0.09,-0.09,-0.09,-0.407,-0.0737,0.5942
1729525344,417257384,0.00397170744668348,0.000876430423726977,0.998516347506637,0.0543006553521637,-0.000651,-0.000826,0.000961,-0.104,-0.104,-0.104,-0.4057,-0.0655,0.6009
1729525344,423587551,0.00397172274267511,0.000876361104221623,0.998515399629333,0.0543180827417913,-0.001308,0.002148,-0.000235,-0.035,-0.035,-0.035,-0.4081,-0.0713,0.5928
1729525344,434991453,0.00395432599028239,0.000877171250969018,0.998513570060549,0.0543529601907392,0.000186,0.003273,-0.000152,-0.015,-0.015,-0.015,-0.406,-0.0773,0.6011
1729525344,450307132,0.00393646984554131,0.000869200250045295,0.99851079719366,0.0544052992250083,0.000543,0.00323,0.00166,-0.045,-0.045,-0.045,-0.4059,-0.0749,0.5943
1729525344,486762112,0.00394473122976497,0.000859908478194766,0.998509346703898,0.0544314633083497,-0.001136,-0.000498,-0.000214,-0.061,-0.061,-0.061,-0.408,-0.0701,0.5901
1729525344,518972306,0.00393556488667235,0.000851566884357859,0.998507962184845,0.0544576497503497,-0.000418,0.001858,0.000069,-0.051,-0.051,-0.051,-0.4048,-0.0749,0.6038
1729525344,533676430,0.00394431564048726,0.00085091947720138,0.998505551701283,0.054501206701217,0.000828,-0.000664,0.000178,-0.079,-0.079,-0.079,-0.4069,-0.0702,0.5942
1729525344,550209764,0.00394338623380848,0.000833389030271454,0.998504139218309,0.0545274163301304,-0.001064,-0.001065,0.001135,-0.068,-0.068,-0.068,-0.407,-0.0725,0.6023
1729525344,575193121,0.00394389146765617,0.000841964955381765,0.99850222793458,0.0545622362516834,-0.001784,-0.000262,0.001893,-0.073,-0.073,-0.073,-0.4059,-0.0737,0.5997
1729525344,613531822,0.00393569117585417,0.000850983022184914,0.998499872242016,0.0546057807886915,-0.000864,0.001347,0.001853,-0.09,-0.09,-0.09,-0.4082,-0.0749,0.5969
1729525344,642077600,0.00393618270497332,0.000859627878110854,0.998498911575622,0.0546231735431308,0.000463,-0.00007,0.000949,-0.1,-0.1,-0.1,-0.406,-0.0773,0.5984
1729525344,663124745,0.00393670484279092,0.000868135300676856,0.998496042606334,0.0546754203968358,0.001725,0.001961,0.000021,-0.089,-0.089,-0.089,-0.407,-0.0725,0.5888
1729525344,683173680,0.00393720493019317,0.000876745746915928,0.998494603251966,0.0547015265868513,0.001985,-0.00098,-0.000828,-0.084,-0.084,-0.084,-0.407,-0.0713,0.5996
1729525344,720850700,0.00392899970834561,0.000885799543606892,0.998492718786777,0.0547363576633521,-0.000495,0.000869,0.001791,-0.075,-0.075,-0.075,-0.4058,-0.0702,0.601
1729525344,727771511,0.00392077169441647,0.000894956560502294,0.998492266510326,0.0547450483710354,0.000361,-0.000974,-0.000017,-0.072,-0.072,-0.072,-0.4059,-0.0737,0.5876
1729525344,753075555,0.00391207383724051,0.000895366097373787,0.998491343994843,0.0547624868428719,-0.000852,0.000401,-0.000234,-0.074,-0.074,-0.074,-0.4047,-0.0714,0.589
1729525344,783486321,0.00390338381223026,0.000895741874646423,0.998489943015711,0.0547886387656244,-0.001345,0.000533,0.001074,-0.051,-0.051,-0.051,-0.4036,-0.0714,0.5984
1729525344,812048462,0.00391161141865227,0.000886584346223841,0.99849039583199,0.0547799479333708,-0.001526,-0.00088,0.001711,-0.063,-0.063,-0.063,-0.4068,-0.0619,0.5995
1729525344,838788974,0.0039028824673252,0.000887130583613653,0.998491384816437,0.0547625324024307,0.000696,-0.001987,0.000232,-0.072,-0.072,-0.072,-0.414,0.0162,0.5306
1729525344,872067939,0.00389319801469634,0.000870249536901376,0.998492388761885,0.0547451848069486,-0.000422,-0.000241,0.000168,-0.089,-0.089,-0.089,-0.4118,-0.0358,0.5719
1729525344,881070538,0.00389270523545232,0.000861603987652745,0.998493351650463,0.0547277917912168,0.000296,0.000546,0.00006,-0.043,-0.043,-0.043,-0.4075,-0.0477,0.571
1729525344,904864287,0.00390138866828351,0.000861262510395127,0.998495228419138,0.0546929265770224,0.00056,0.000468,0.000362,-0.091,-0.091,-0.091,-0.4065,-0.0501,0.5859
1729525344,940553031,0.00391006461628224,0.000860955762123845,0.998497580837903,0.0546493477612283,0.00101,-0.002932,-0.000694,-0.09,-0.09,-0.09,-0.4042,-0.0466,0.5712
1729525344,965434757,0.00391000450070264,0.000861228734031605,0.998501393648832,0.0545796393466727,0.000971,0.002578,0.001817,-0.073,-0.073,-0.073,-0.4088,-0.0524,0.5844
1729525344,985781166,0.00391090341318848,0.000878894775938655,0.998504710678756,0.0545185760158721,0.000396,-0.000977,0.0003,-0.107,-0.107,-0.107,-0.4077,-0.0524,0.5899
1729525345,3850223,0.00389389770387076,0.000888797915385906,0.998508097479221,0.0544575694221056,0.001694,0.003229,0.002052,-0.061,-0.061,-0.061,-0.4054,-0.0525,0.5886
1729525345,34926756,0.00389525951409936,0.000915210738586645,0.998511873283494,0.0543877583147996,0.002888,0.001724,0.000969,-0.084,-0.084,-0.084,-0.4075,-0.0477,0.5736
1729525345,50924024,0.00387825032012669,0.000925110705562561,0.998515251441557,0.0543267520034204,0.000056,0.002646,0.000015,-0.092,-0.092,-0.092,-0.4088,-0.0524,0.5871
1729525345,79391016,0.00386996995485921,0.000934467421262451,0.998517645556876,0.0542831614291315,0.000039,-0.000521,-0.000254,-0.09,-0.09,-0.09,-0.4076,-0.0501,0.5737
1729525345,122544569,0.00387133239591551,0.000960845039801768,0.998520934850814,0.0542220640232859,0.002442,0.000518,-0.000763,-0.069,-0.069,-0.069,-0.4075,-0.043,0.5897
1729525345,130101161,0.00387221898237802,0.000978509059840417,0.998524228299075,0.0541610001745644,-0.000229,-0.003169,0.00032,-0.075,-0.075,-0.075,-0.4088,-0.0524,0.5844
1729525345,161502090,0.00388134510493434,0.00098698720415719,0.998527493659941,0.0540999576860454,-0.001147,0.000212,0.001227,-0.077,-0.077,-0.077,-0.4076,-0.0489,0.5723
1729525345,180775492,0.00389047020530064,0.000995466466338948,0.998530755145264,0.0540389148403773,-0.000089,0.000217,0.000428,-0.05,-0.05,-0.05,-0.4087,-0.0465,0.583
1729525345,207875190,0.00388168684576722,0.000996209120490886,0.998534558117529,0.053969216407601,-0.000999,0.000552,-0.000728,-0.078,-0.078,-0.078,-0.4086,-0.0453,0.5682
1729525345,226507970,0.00388115554546456,0.000987732350729436,0.998537861703915,0.0539082531733993,-0.000602,0.000088,0.000123,-0.063,-0.063,-0.063,-0.4075,-0.0418,0.583
1729525345,254139031,0.00388933066440321,0.00097881947523607,0.998541598573032,0.0538385636754156,-0.000143,0.000051,-0.000252,-0.083,-0.083,-0.083,-0.4109,-0.0453,0.5815
1729525345,286275602,0.00387136520209416,0.000971315648496139,0.998545428795418,0.0537689102470643,0.000775,0.001282,0.000338,-0.058,-0.058,-0.058,-0.4076,-0.0477,0.5844
1729525345,315239226,0.00387128042407248,0.000971653485143833,0.998550117215828,0.053681770515122,0.002203,0.002697,0.000438,-0.06,-0.06,-0.06,-0.4097,-0.0429,0.5842
1729525345,329359253,0.00385425238912221,0.000981573639385803,0.998553919157595,0.0536120488949929,0.00121,0.000707,0.000259,-0.079,-0.079,-0.079,-0.4086,-0.0406,0.5842
1729525345,363079166,0.00384639556274102,0.000999771723602088,0.998558141948067,0.0535335674777876,0.000108,0.000108,-0.000701,-0.076,-0.076,-0.076,-0.4065,-0.0477,0.5872
1729525345,384020733,0.0038463170289903,0.0010000738157193,0.998562343384817,0.053455140739684,-0.000439,0.000667,0.00105,-0.064,-0.064,-0.064,-0.4121,-0.0476,0.5855
1729525345,411462887,0.0038554096014594,0.00100865780390184,0.998566963178538,0.0533679536297964,0.000298,0.001023,-0.000557,-0.07,-0.07,-0.07,-0.4077,-0.0548,0.5899
